	Unnamed: 0	platform	phase/arg_situation	method	adressee, reference	function	intent	impl_expl	pos_neg	easy translation	User	topic	link	connected	utterance	Effekt	lecture	praise	insinuation	dissence	concession	td-type
	boris										Jens Stender	entertainment	https://www.youtube.com/watch?v=JUcS4DrExOo		Vollpfosten des Jahrhunderts.	dissence						
	boris										StickyFinger	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Eine Super-Comedy Sendung!	praise						
	boris										StickyFinger	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Aber wahrscheinlich würden man diese Art von Humor nicht verstehen	insinuation						
	boris										Harald Giese	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Grausam das Geschreie am Ende!!	dissence						
	boris										Harald Giese	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Ansonsten genial wie immer.	concession						
	boris										Georg E	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Bis zu dem Punkt GENIALE FOLGE	concession						
	boris										Georg E	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Leider reißen die letzten Minuten die ganze Folge runter	dissence						
	boris										U.C.	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Das Geschrei am Ende hat die Folge kaputt gemacht. Furchtbar.	dissence						
	boris										Wolfgang Folz	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Traurig und schön	praise						
	boris										stinkkaefer	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Das Geschreie am Schluss nervt total,keine Weltklasse!	dissence						
	boris										Markus Wittemann	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Das ist absolute Spitzenklasse!!! Wirklich schön!!!	praise						
	boris										Loo Vinaii	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Reine Weltfolge!	praise						
	boris										KoronaOde	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Was ist das für nen Hampelmann da am Ende. Der nervt ja gewaltig	dissence						
	boris										andreas jung	entertainment	https://www.youtube.com/watch?v=hN7268V_ObU		Unfassbar schöne Folge	praise						
	boris										Sorta Awesome	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		so unendlich klassisch - zeitlos	praise						
	boris										MaBo Berlin	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		So geil, wie Harald Schmidt ganz alltägliche Dinge auseinander nehmen und eine mega geile Story draus machen kann	praise						
	boris										John Snow	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Das ist Deutschland, super Harald	praise						
	boris										Der Master	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Schaue ich immer wieder gerne... und es trifft auch genau so zu, wie die faust aufs auge	concession						
	boris										H. Celine	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Schöner Klassiker, hatte ich damals noch live gesehen.	praise						
	boris										achmett katapulski	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		OBERgeil!!!	praise						
	boris										Avni Veliji	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Einfach geil	praise						
	boris										Titus Tortellini	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Weltklasse!	praise						
	boris										frajosa59	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		genau so isses genial!!	praise						
	boris										1969Iceman	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		so ist es leider :-(	concession						
	boris										jack dulon	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Sehr realitätsgetreu dargestellt	praise						
	boris										Mad9977 Productions	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		ist so was von wahr	praise						
	boris										Jürgen Naeve	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		immer noch aktuell!	concession						
	boris										Michael Müller	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Köstlich	praise						
	boris										Tomcat	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		so der hammer	praise						
	boris										Hans Dampf	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Mein Gott, wie lebensnah.	concession						
	boris										SilberfuchsAg47	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Ich hab geschrien und geweint vor Lachen!	concession						
	boris										Flower_Tower	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Fantastisch!	praise						
	boris										Heinz Germany	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Super,hahahahahaha	praise						
	boris										Geburtswehe	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		so entlarvend	concession						
	boris										Duphe	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		grandiose rhetorik.	praise						
	boris										Duphe	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		das so locker frei runterzureden ist echt schwerstarbeit	concession						
	boris										Duphe	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		er ist in topform hier.	praise						
	boris										eL mExx	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		das is ganz gross, hammer!!	praise						
	boris										FermanWiles	entertainment	https://www.youtube.com/watch?v=4RullCxjJZA		Nie wurde der deutsche Spießer besser karikiert.	praise						
	boris										Dark Battra	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Helge muss man einfach beneiden	concession						
	boris										Dark Battra	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Er ist nie zur Medienhure geworden wie viele andere	praise						
	boris										Dark Battra	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		er ist sich und seiner Kunst treu geblieben	praise						
	boris										Dark Battra	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		er ist immer am Boden geblieben	praise						
	boris										Dark Battra	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Danke für den tollen Abend Helge :)	praise						
	boris										Candymen	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Super Typ	praise						
	boris										Candymen	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Helge Schneider,wo Wahnsinn und Genialität ganz nah beieiander liegen	praise						
	boris										blasterbeam	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Hört euch doch mal die Musik an.	lecture						
	boris										blasterbeam	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Viele glauben er redet nur oberflächlichen Quatsch, aber der Typ ist ein Genie!	insinuation						
	boris										E.M.B.	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		 Aber nach dem Film Texas in einem open View in Köln, musste ich das Urteil revidieren	concession						
	boris										E.M.B.	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Entertainer der besonderen Art.	praise						
	boris										EN20ZWANZIG	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		typisches tv total publikium	insinuation						
	boris										EN20ZWANZIG	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		lacht dann wenn es nicht lustig ist und wenn helge einene raus haut schauen se wie ein auto!	insinuation						
	boris										Pulverfass	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Helge ist Kult , einfach top	praise						
	boris										Jörg Albert	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		wie der Mann Saxophon spielt! Gänsehautentzündung!	praise						
	boris										Jörg Albert	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Als ich ihn das erste Mal gesehen hab dachte ich, was für ein Blödsinn!	concession						
	boris										Jörg Albert	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Das ist sicher vielen Leuten so gegangen, vielen jetzt noch!	insinuation						
	boris										Lars Westerhausen	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		pure magic.	praise						
	boris										danu11	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		was für ein begnadeter Musiker!!! Genial	praise						
	boris										Michael Treser	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Genialer Musiker !	praise						
	boris										mTwsyless	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		was eine geile sau :D	praise						
	boris										Andy Pipkin	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Ein toller Mensch...	praise						
	boris										Fififlirt	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Großartiger Künstler.	praise						
	boris										James2013Rhyme	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		sein Können sucht seinesgleichen	praise						
	boris										Drachenreiterklaus	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Großartiger Meister der Unterhaltung, einfach großartig!	praise						
	boris										Der Elite	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Legende.	praise						
	boris										Draki	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		"Wahnsinn; wie gechilled und down to earth er ist!"	praise						
	boris										Draki	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Helge ist wirklich ein Juwel der deutschen Medienlandschaft.	praise						
	boris										davidivad1199	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Ich glaube nicht, dass Helge es nötig hat, im Fernsehen aufzutreten!	insinuation						
	boris										Delorean 1984	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Ein spitzen Musiker. :-)	praise						
	boris										Dynamite1Deluxe	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Eine lebende Legende !	praise						
	boris										Adam Mirski	entertainment	https://www.youtube.com/watch?v=zlfuusKRUuM		Helge ist kult und als Jazzer grandios!!!	praise						
	boris										Nelke Thüringen	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		Bjarne war einfach klasse	praise						
	boris										So Ra	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		So ein symphatischer Kerl	praise						
	boris										So Ra	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		Die Beiden zusammen sind ein super Team	praise						
	boris										Tina bintbina	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		Sehr lustig dieser Bjarne	praise						
	boris										Tina bintbina	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		Ich kannte ihn gar nicht	concession						
	boris										Claus-Peter Fuchs	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		Einfach genial die Ina, mach weiter so und deine Gäste sind der Hammer	praise						
	boris										dancetothemusic99	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		Total sympathische Reaktion	praise						
	boris										Renate Niebert	entertainment	https://www.youtube.com/watch?v=bcHKA-SSnRw		Die Badekappe von Ina ist aber hässlich	dissence						
	boris										Björn A.	health	https://www.welt.de/vermischtes/article207213819/Kuriose-Phaenomene-Wie-Corona-unsere-Welt-veraendert.html		Ich kann der teils beängstigenden Ruhe nichts abgewinnen	dissence						
	boris										oller Mann	health	https://www.welt.de/vermischtes/article207213819/Kuriose-Phaenomene-Wie-Corona-unsere-Welt-veraendert.html		Ich möchte es mir nicht vorstellen.	concession						
	boris										Johann A.	health	https://www.welt.de/vermischtes/article207213819/Kuriose-Phaenomene-Wie-Corona-unsere-Welt-veraendert.html		Aber der Alltag kommt zurück, ob wir mögen oder nicht. 	concession						
	boris										Brigitte S.	health	https://www.welt.de/vermischtes/article207213819/Kuriose-Phaenomene-Wie-Corona-unsere-Welt-veraendert.html		Alle reden, niemand agiert mit uns wenigen, bestmöglich eingesetzt umzugehen.	insinuation						
	boris										Dr. Bob	health	https://www.welt.de/vermischtes/article207213819/Kuriose-Phaenomene-Wie-Corona-unsere-Welt-veraendert.html		Doch, ich bin völlig bei Ihnen und poste das als Arzt hier auch, vielen Dank für Ihren Einsatz!	praise						
	boris										Sokrat3s	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Ein schöner Gedenkartikel, vielen Dank dafür!	praise						
	boris										superidee	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Ich habe noch nie von ihm gehört, und ich bin sicher nicht die Einzige, die über sein weiteres Werk jetzt, nach der Lektüre dieses Artikels, zu lesen motiviert ist	concession						
	boris										AlexFromTheWoods	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		John Conway und sein Game of Life haben mich in meinem Mathematikstudium durchaus geprägt	concession						
	boris										AlexFromTheWoods	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Es erfüllt mich mit Trauer	concession						
	boris										Dritter Benutzername	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Sehr angenehmer und ruhiger Typ	praise						
	boris										Zeitnahe Antwort	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Und Ihr klug zum Artikel gewähltes Avatarbild, sehr schön!	praise						
	boris										PeterKai	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Ein schöner Nachruf - er ist dem Meister würdig!	praise						
	boris										Wüstenfux	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Ein toller Mathematiker.	praise						
	boris										Cele	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Trauriger Anlass, aber trotzdem danke für den Artikel	concession						
	boris										Cele	science	https://www.zeit.de/kultur/2020-04/john-conway-mathematiker-game-of-life-nachruf		Auf diese Weise kriegen Mathenoobs (wie ich) Infos über dieses extrem coole Phänomen	concession						
	boris										JuliusU995	health	https://www.zeit.de/2020/16/corona-krise-weltweit-angst-stillstand-ausnahmezustand		Trauig aber auch tapfer wie Menschen diese Krise durch/erleben	praise						
	boris										Deadend12	health	https://www.zeit.de/2020/16/corona-krise-weltweit-angst-stillstand-ausnahmezustand		Über die, denen es richtig übel geht will wahrscheinlich keiner lesen.	insinuation						
	boris										HaseImPfeffer	health	https://www.zeit.de/2020/16/corona-krise-weltweit-angst-stillstand-ausnahmezustand		Ansonsten eine ziemlich dämliche Idee.	dissence						
	boris										HaseImPfeffer	health	https://www.zeit.de/2020/16/corona-krise-weltweit-angst-stillstand-ausnahmezustand		Googeln Sie doch mal - Sie könnten erstaunt sein	lecture						
	boris										IIDonOllill	music	https://www.youtube.com/watch?v=RacxNskxySo		Hennings Tanzeinlagen lassen mich an meiner soliden Heterosexualität zweifeln	concession						
	boris										Cansu Erna	music	https://www.youtube.com/watch?v=ZsGBM0vDorI		ich kann diese Loredana Capital Bra Mist nicht mehr in den Charts hören	dissence						
	boris										Cansu Erna	music	https://www.youtube.com/watch?v=ZsGBM0vDorI		Warum ist sowas nicht in den Charts oder in den Trends	dissence						
	boris										Dawid Agostini	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Hut ab vor den Eltern	praise						
	boris										LottasMommy	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Ich bin jedenfalls sehr erstaunt über die Menschen in Conchitas Heimatort	concession						
	boris										delmond trion	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Der ewige Kotzbrocken Sido	dissence						
	boris										delmond trion	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Der hats echt drauf, dass er es überall verkackt und keiner ihn mag!	insinuation						
	boris										Ein RaZor	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Man ist so wie man ist und man sollte auch so respektiert werden!	lecture						
	boris										Stephanie Hill	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Am meisten beeindruckt mich der Pfarrer	concession						
	boris										Lost Jacky	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		An alle Hater: schämt Euch 	lecture						
	boris										Enduro Camaro Dusty	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Die Welt braucht Menschen, wie Conchita Wurst	lecture						
	boris										Enduro Camaro Dusty	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Sie sind es doch, die für eine besser Zukunft stehen, die das Leben leben und neue Impulse schaffen!	insinuation						
	boris										Katharina Livey	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		So ein scheinheiliges Dorf	insinuation						
	boris										Katharina Livey	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Jetzt, wo Tom berühmt ist, wird er plötzlich geliebt!	insinuation						
	boris										silverdollar1921	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Ihre Musik ist nicht meins- aber Conchitas Persönlichkeit ist umwerfend	concession						
	boris										Campos Rodriguez	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		DAS PERVERSE IST DIE NEUE MODE	dissence						
	boris										redToffifee	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		einige davon sind echt kaum zu ertragen, einfach unterste schublade!	dissence						
	boris										redToffifee	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		andererseits, warum ein falsches bild der realität erstellen?	concession						
	boris										redToffifee	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		youtube ist so ziemlich das einzige medium, auf dem sich internettrolle feige austoben dürfen, ohne konsequenzen befürchten zu müssen.	insinuation						
	boris										Lena Strobl	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Wenn ich so die Kommentare durchlese, wird mir schlecht	dissence						
	boris										Lena Strobl	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Die meisten haten einfach, ohne einen richtigen GRUND!	insinuation						
	boris										TheM&Mgrace	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Ganz toller Beitrag	praise						
	boris										Stern Lein	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		ich finde traurig das Menschen immer wieder diskriminiert werden.	dissence						
	boris										Stern Lein	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		dumme menschen find ich blöd	dissence						
	boris										Karsten Voß	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Versagt haben dann auch diese Personen die keine weisse Hautfarbe haben und geistigen Dünnschiss von sich geben	dissence						
	boris										Karsten Voß	entertainment	https://www.youtube.com/watch?v=hfewnK7SaEk		Eine Denkweise wie im Mittelalter	insinuation						
	boris										4quA	music	https://www.youtube.com/watch?v=RveIJFR7LV4		Wie konnte deutschrap in den paar jahren so tief sinken	dissence						
	boris										Leon Karadeniz	music	https://www.youtube.com/watch?v=RveIJFR7LV4		Da war Rap noch Rap.	praise						
	boris										LizSweetbrock	music	https://www.youtube.com/watch?v=GWgisTPKCdk		"Für mich als Sprecherin des langweiligen Hochdeutschs der reinste ""Ohrgasmus"""	concession						
	boris										Paula Servas	music	https://www.youtube.com/watch?v=GWgisTPKCdk		Geils liadl	praise						
	boris										drakestar13	music	https://www.youtube.com/watch?v=ubKinQvpc6w		dieses deutschland wünsch ich mir zurück	concession						
	boris										Fun Thomas	music	https://www.youtube.com/watch?v=ubKinQvpc6w		Das Lied gehört zum Weltkulturerbe!!!	praise						
	boris										David Black	music	https://www.youtube.com/watch?v=ubKinQvpc6w		da war die Welt noch in ordnung	concession						
	boris										Fabian Theilacker	music	https://www.youtube.com/watch?v=ubKinQvpc6w		ich wette die 13 denen das nicht gefällt heißen WALTER xDDDD	insinuation						
	boris										Lord Peter Live	music	https://www.youtube.com/watch?v=ubKinQvpc6w		Klassiker vom feinsten!	praise						
	boris										Ulrich Friehe	music	https://www.youtube.com/watch?v=ubKinQvpc6w		Der Mann ist und bleibt ne Pflaume!	dissence						
	boris										r.schwietzek	politics	https://www.zeit.de/politik/ausland/2020-04/usa-donald-trump-who-zahlungen-coronavirus?page=2#comments		Aktuell sucht er nur einen Sündenbock	insinuation						
	boris										Bergspezialist	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Oh je...wieder einmal der linke Pseudoheld #Precht zu Gast	dissence						
	boris										CityguideMunich	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Es wurde soviel Kluges, Nachdenkenswertes gesagt gestern bei #Lanz. 	praise						
	boris										CityguideMunich	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Diese blöckenden Kommentare zur Sendung verblüffen mich immer wieder. 	dissence						
	boris										CityguideMunich	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Soviel geballte Dummheit. 	dissence						
	boris										CityguideMunich	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Haben die sich die Sendung überhaupt angeschaut?	insinuation						
	boris										CityguideMunich	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		 Haben die nix Besseres zu tun? Als #Twitter vollzuspammen?	dissence						
	boris										Diese Figuren haben Deutschland erledigt	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Die grösste Labbersülztüte	dissence						
	boris										Hans B....	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Lanz ist einfach ein schlechter Journalist	dissence						
	boris										Carina Sonntag	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		Wer sieht sich denn solche Idioten - Sendungen an ? 	dissence						
	boris										Carina Sonntag	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		ARD und ZDF sind der größte journalistische Abschaum in Deutschland.	dissence						
	boris										Carina Sonntag	tv	https://twitter.com/search?q=%23Lanz&src=trend_click		 Gehilfe Jeder Regierung und selbst jetzt, wo wir faschistische Zustände haben, kommen nur Lügen und Halbwahrheiten. #Lanz	insinuation						
	boris										Lavendelzweig	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Scham würde ich hier nicht fühlen, eher Angst vor der Ungewissheit der Erkrankungsschwere und Folgen.	concession						
	boris										Polykanos	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Versteh' ich nicht. Wieso schämt man sich wegen einer Krankheit?	dissence						
	boris										makke14	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Fragen Sie mal jemanden mit einer Depression	lecture						
	boris										makke14	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Das duerfte schwer von einander zu trennen sein.	lecture						
	boris										Polykanos	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Das sehe ich nicht so	dissence						
	boris										Kabeljau	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Verstehe ich auch nicht	dissence						
	boris										medscot	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Schreibt der Autor doch	lecture						
	boris										Polykanos	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Sorry, aber das ist doch kein Grund sich zu schämen	lecture						
	boris										russischer Bot	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Wer seinen Selbstwert jedoch von dem Gerede der anderen abhängig macht, wird sich wohl schämen.	insinuation						
	boris										Polykanos	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Scham ist doch etwas, was man auch, wenn man allein ist, empfindet, weil man gegen sich selbst und seine eigenen Wertmaßstäbe und Grundsätze gehandelt hat	lecture						
	boris										GimmeFuelGimmeFire	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Sich für sowas schämen ist dumm.	lecture						
	boris										ert34656ue4	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Bitte mit Quellenangabe.	lecture						
	boris										dorfbeobachter	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Wer will denn behaupten sowas zu wissen?	dissence						
	boris										Ryyyk	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Dem Autor Dummheit zu unterstellen halte ich für vermessen	dissence						
	boris										Ryyyk	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Würden Sie so bezeichnet werden wollen, wenn andere Ihre Gedanken nicht verstehen?	lecture						
	boris										Ryyyk	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Das bitte ich Sie zu berücksichtigen	lecture						
	boris										Ryyyk	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Nicht jeder Mensch verfügt über dasselbe Wissen oder zieht dieselben Schlüsse daraus.	lecture						
	boris										allesmist	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Was ist denn das für eine blödsinnige Aussage von Ihnen?	dissence						
	boris										resto	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Gefühle sind nicht dumm.	dissence						
	boris										resto	health	https://www.zeit.de/zeit-magazin/leben/2020-04/covid-19-genesung-patient-pandemie-coronavirus/seite-3		Dumm ist, wer ignorant ist und entsprechend wenig weis und versteht	lecture						
	boris										anjarco	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		So etwas macht man nicht mit Menschen.	dissence						
	boris										Der_Puderant	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Der ganze künstliche Hype in einschlägigen Medien war mir immer suspekt	insinuation						
	boris										Der_Puderant	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Ich habe dem Neoliberalen Macron immer misstraut	insinuation						
	boris										Der_Puderant	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Man musste nur mal den CV von Herrn Macron sich genauer anschauen und wer ihn als Kandidaten aus dem Nichts lansierte	insinuation						
	boris										Gast98101-40213	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Zwischen einige in Sondersituation und allen gibt es aber schon noch ein paar Graustufen	concession						
	boris										Gast98101-40213	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Die Tabletten hätte ich allerdings auch schon gerne zu Hause	concession						
	boris										Ozeananwohner	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Haben Sie außer Vermutungen noch etwas Anderes zum Thema beizutragen?	dissence						
	boris										Ozeananwohner	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Mit Verlaub, hier scheint es sich doch um ein eklatantes Versagen des behandelnden Arztes zu handeln	dissence						
	boris										Ozeananwohner	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Ich lebe zwar nicht im Elsaß, sondern im Südwesten Frankreichs	concession						
	boris										Ozeananwohner	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Jetzt so zu tun, als ob man als Einziger die Wahrheit kennt ist vermessen.	dissence						
	boris										Borg Queen	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Diese Verbrecher.	dissence						
	boris										airlangga	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		ekelhafter Kommentar	dissence						
	boris										sonika	health	https://www.zeit.de/wissen/gesundheit/2020-04/coronavirus-frankreich-triage-altenheime-todesfaelle/seite-2		Ich bittte, dass dieser widerliche Kommentar gelöscht wird.	dissence						
